product_id,samples,RMSE,MAPE
19,84,3.3678661821923366,7.23756519475331
3,84,4.599055541563903,7.589348220617724
5,84,0.8273482368498865,8.11801762807937
18,84,5.340275220315048,8.361156526573458
13,84,0.6759326302207022,8.441744000931095
12,84,0.5133695401648389,9.238753653913138
8,84,1.2088749208960115,9.448310297983383
39,84,0.5445115106362562,10.730039594642607
1,84,0.9446151935895728,10.743120040422605
0,84,1.7431334249758583,10.909351047542359
42,84,0.9448837064404245,11.064671675364176
23,84,0.7189547205741825,11.158615841296474
15,84,1.7358678630386295,11.201562647218802
28,84,1.3753290649609167,11.261631379144116
21,84,0.8895141969269386,11.320091148972011
9,84,0.763134272001208,11.551473327134373
11,84,0.7271485375038752,12.151365324302956
27,84,0.9332302135880781,12.379201581080753
34,84,0.7226973238432939,12.628655835864988
10,84,0.8111429251966562,12.693835820680782
43,84,0.9394481444672909,12.757992970109477
37,84,2.1048401865696444,12.8122581072592
38,84,0.49398703317863646,12.898057041660188
25,84,0.6301942750187705,12.924813261951309
22,84,0.6663293183654053,13.336182138527253
20,84,2.6288002298864632,13.537170282175046
36,84,1.0203240480105369,13.618735030293463
29,84,0.9558604961804922,13.623318979005772
24,84,0.73656077466074,14.225706383885154
32,84,0.9651888334490731,14.245512205877423
35,84,1.0196957510293736,14.472934699352876
14,84,1.0833697801963558,15.100610479055469
40,84,0.823173764463591,15.229471484820047
6,84,0.9407970309173352,15.461838620603432
17,84,2.3443614924953695,15.704172818228576
16,84,0.6968446844717296,16.36966132536167
4,84,0.6960682779740073,17.48764212053966
31,84,0.7461133225355264,18.12538381957223
41,84,0.7685637225113188,18.36907527574296
44,84,0.8883010929142598,19.428857269450127
7,84,0.726317743894172,19.61802580229049
33,84,0.7342081895041577,21.201836287490725
26,84,0.7115751488004917,21.28431079833488
2,84,0.7570831485748766,22.13373331376064
30,84,0.7314521982762713,23.964570523277533
