date,time,ticket_id,product_name,quantity,unit_price_cny
2021-01-01,07:13,1026226,americano,8,15.0
2021-01-01,07:23,1026228,mocha,6,22.0
2021-01-01,07:26,1026229,espresso,2,12.0
2021-01-01,07:35,1057523,tostada,1,8.0
2021-01-01,07:43,1057500,cookie,1,9.0
2021-01-01,08:05,1057509,bread_roll,2,6.5
2021-01-01,08:20,1057524,bagel,1,10.0
2021-01-01,08:29,1057502,brownie,1,16.0
2021-01-01,08:43,1026232,caramel_macchiato,2,22.0
2021-01-01,08:43,1026240,earl_grey,3,10.0
2021-01-01,09:35,1057507,eggtart,1,8.0
2021-01-01,09:41,1057504,apple_pie,2,14.0
2021-01-01,09:41,1057510,pizza_bread,1,14.0
2021-01-01,09:46,1026234,hot_chocolate,1,15.0
2021-01-01,09:53,1026227,cappuccino,6,18.0
2021-01-01,10:07,1026230,espresso,2,12.0
2021-01-01,10:57,1057522,pullman,1,10.0
2021-01-01,11:44,1057513,chocopie,2,12.0
2021-01-01,11:50,1026238,milk_tea,4,14.0
2021-01-01,11:53,1057508,bread_coconut,1,9.0
2021-01-01,12:05,1057499,croissant_chocolate,2,12.0
2021-01-01,12:07,1057514,stickbread,2,6.0
2021-01-01,12:19,1057521,pancake,1,13.0
2021-01-01,12:28,1057515,pandesal,1,5.0
2021-01-01,12:30,1026235,hot_chocolate,1,15.0
2021-01-01,13:17,1057505,chocolate_cake,1,22.0
2021-01-01,13:25,1057517,cornbread,1,7.0
2021-01-01,13:29,1057498,baguette,1,9.0
2021-01-01,13:36,1057512,soboru_bread,1,11.0
2021-01-01,13:58,1057501,brioche,2,16.0
2021-01-01,14:00,1026223,latte,3,18.0
2021-01-01,14:04,1057520,muffin,3,12.0
2021-01-01,14:09,1026224,latte,1,18.0
2021-01-01,14:10,1057506,donut,3,8.0
2021-01-01,14:19,1057518,flatbread,1,7.0
2021-01-01,14:54,1026225,latte,5,18.0
2021-01-01,14:58,1057503,macaron,1,15.0
2021-01-01,15:18,1026237,matcha_latte,5,18.0
2021-01-01,15:26,1026239,chai_latte,3,16.0
2021-01-01,15:42,1057519,mantequilla,1,8.0
2021-01-01,16:24,1057497,croissant,3,10.0
2021-01-01,16:26,1026231,flat_white,2,20.0
2021-01-01,16:40,1026241,english_breakfast,3,10.0
2021-01-01,17:06,1057516,sourdough,1,22.0
2021-01-01,17:20,1026243,lemonade,1,12.0
2021-01-01,17:29,1026233,cold_brew,4,18.0
2021-01-01,17:30,1026236,hot_chocolate,2,15.0
2021-01-01,17:36,1057511,chiffon,1,18.0
2021-01-01,19:36,1026244,lemonade,1,12.0
2021-01-01,19:51,1026242,lemonade,1,12.0
2021-01-02,07:09,1004609,donut,1,8.0
2021-01-02,07:14,1026259,caramel_macchiato,2,22.0
2021-01-02,07:21,1026257,flat_white,1,20.0
2021-01-02,07:34,1026249,americano,8,15.0
2021-01-02,07:53,1017514,pandesal,1,5.0
2021-01-02,07:58,1057530,eggtart,1,8.0
2021-01-02,08:21,1004610,donut,2,8.0
2021-01-02,08:29,1022779,pancake,14,13.0
2021-01-02,08:38,150040,baguette,1,9.0
2021-01-02,08:38,150040,croissant_chocolate,3,12.0
2021-01-02,08:58,1004608,donut,1,8.0
2021-01-02,09:13,1026269,earl_grey,1,10.0
2021-01-02,09:14,150041,croissant_chocolate,2,12.0
2021-01-02,09:16,1026245,latte,7,18.0
2021-01-02,09:19,1026264,milk_tea,1,14.0
2021-01-02,09:24,1025189,pullman,1,10.0
2021-01-02,09:25,150043,croissant,3,10.0
2021-01-02,09:25,150043,baguette,2,9.0
2021-01-02,09:32,150045,croissant,6,10.0
2021-01-02,09:35,1026253,mocha,1,22.0
2021-01-02,09:37,150046,croissant,6,10.0
2021-01-02,09:37,150046,croissant_chocolate,6,12.0
2021-01-02,09:39,150048,croissant,3,10.0
2021-01-02,09:40,150049,croissant,2,10.0
2021-01-02,09:47,1008172,cream_horn,8,13.0
2021-01-02,09:53,1026255,espresso,3,12.0
2021-01-02,09:58,150056,croissant,5,10.0
2021-01-02,10:01,1021178,muffin,4,12.0
2021-01-02,10:03,150058,croissant,2,10.0
2021-01-02,10:03,150058,croissant_chocolate,2,12.0
2021-01-02,10:03,1008175,cream_horn,2,13.0
2021-01-02,10:06,1057534,chocopie,2,12.0
2021-01-02,10:17,1019909,cornbread,1,7.0
2021-01-02,10:24,150066,croissant,2,10.0
2021-01-02,10:24,150067,croissant,2,10.0
2021-01-02,10:24,150066,baguette,1,9.0
2021-01-02,10:24,150066,croissant_chocolate,2,12.0
2021-01-02,10:29,150069,brioche,1,16.0
2021-01-02,10:33,150070,croissant,2,10.0
2021-01-02,10:33,150070,croissant_chocolate,2,12.0
2021-01-02,10:34,150071,croissant,2,10.0
2021-01-02,10:34,150071,croissant_chocolate,4,12.0
2021-01-02,10:35,1026247,latte,3,18.0
2021-01-02,10:44,1008174,cream_horn,1,13.0
2021-01-02,10:45,1026256,espresso,2,12.0
