date,product,sales,day_of_week,is_weekend,day_of_month,month,is_public_holiday,is_ramadan,temperature,rainfall,humidity,is_rainy,weather_sunny,weather_cloudy,weather_rainy,weather_storm,lag_1,lag_7,rolling_7d_mean
2025-06-01,croissant,10,6,1,1,6,0,0,29.3,6.4,79.3,1,0,1,0,0,0.0,0.0,0.0
2025-06-01,donut,65,6,1,1,6,0,0,29.3,6.4,79.3,1,0,1,0,0,0.0,0.0,0.0
2025-06-01,chiffon,24,6,1,1,6,0,0,29.3,6.4,79.3,1,0,1,0,0,0.0,0.0,0.0
2025-06-01,bread_coconut,25,6,1,1,6,0,0,29.3,6.4,79.3,1,0,1,0,0,0.0,0.0,0.0
2025-06-01,bread_roll,48,6,1,1,6,0,0,29.3,6.4,79.3,1,0,1,0,0,0.0,0.0,0.0
2025-06-01,croissant_chocolate,30,6,1,1,6,0,0,29.3,6.4,79.3,1,0,1,0,0,0.0,0.0,0.0
2025-06-02,croissant,0,0,0,2,6,1,0,28.9,6.0,85.1,1,0,1,0,0,10.0,0.0,10.0
2025-06-02,donut,0,0,0,2,6,1,0,28.9,6.0,85.1,1,0,1,0,0,65.0,0.0,65.0
2025-06-02,chiffon,0,0,0,2,6,1,0,28.9,6.0,85.1,1,0,1,0,0,24.0,0.0,24.0
2025-06-02,bread_coconut,0,0,0,2,6,1,0,28.9,6.0,85.1,1,0,1,0,0,25.0,0.0,25.0
2025-06-02,bread_roll,0,0,0,2,6,1,0,28.9,6.0,85.1,1,0,1,0,0,48.0,0.0,48.0
2025-06-02,croissant_chocolate,0,0,0,2,6,1,0,28.9,6.0,85.1,1,0,1,0,0,30.0,0.0,30.0
2025-06-03,croissant,41,1,0,3,6,0,0,27.6,1.0,82.7,0,1,0,0,0,0.0,0.0,5.0
2025-06-03,donut,24,1,0,3,6,0,0,27.6,1.0,82.7,0,1,0,0,0,0.0,0.0,32.5
2025-06-03,chiffon,21,1,0,3,6,0,0,27.6,1.0,82.7,0,1,0,0,0,0.0,0.0,12.0
2025-06-03,bread_coconut,18,1,0,3,6,0,0,27.6,1.0,82.7,0,1,0,0,0,0.0,0.0,12.5
2025-06-03,bread_roll,25,1,0,3,6,0,0,27.6,1.0,82.7,0,1,0,0,0,0.0,0.0,24.0
2025-06-03,croissant_chocolate,26,1,0,3,6,0,0,27.6,1.0,82.7,0,1,0,0,0,0.0,0.0,15.0
2025-06-04,croissant,25,2,0,4,6,0,0,25.3,4.6,77.2,0,0,1,0,0,41.0,0.0,17.0
2025-06-04,donut,35,2,0,4,6,0,0,25.3,4.6,77.2,0,0,1,0,0,24.0,0.0,29.666666666666668
2025-06-04,chiffon,10,2,0,4,6,0,0,25.3,4.6,77.2,0,0,1,0,0,21.0,0.0,15.0
2025-06-04,bread_coconut,16,2,0,4,6,0,0,25.3,4.6,77.2,0,0,1,0,0,18.0,0.0,14.333333333333334
2025-06-04,bread_roll,30,2,0,4,6,0,0,25.3,4.6,77.2,0,0,1,0,0,25.0,0.0,24.333333333333332
2025-06-04,croissant_chocolate,16,2,0,4,6,0,0,25.3,4.6,77.2,0,0,1,0,0,26.0,0.0,18.666666666666668
2025-06-05,croissant,36,3,0,5,6,0,0,28.5,4.4,72.9,0,0,1,0,0,25.0,0.0,19.0
2025-06-05,donut,21,3,0,5,6,0,0,28.5,4.4,72.9,0,0,1,0,0,35.0,0.0,31.0
2025-06-05,chiffon,17,3,0,5,6,0,0,28.5,4.4,72.9,0,0,1,0,0,10.0,0.0,13.75
2025-06-05,bread_coconut,16,3,0,5,6,0,0,28.5,4.4,72.9,0,0,1,0,0,16.0,0.0,14.75
2025-06-05,bread_roll,21,3,0,5,6,0,0,28.5,4.4,72.9,0,0,1,0,0,30.0,0.0,25.75
2025-06-05,croissant_chocolate,18,3,0,5,6,0,0,28.5,4.4,72.9,0,0,1,0,0,16.0,0.0,18.0
2025-06-06,croissant,89,4,0,6,6,0,0,27.3,5.6,78.5,1,0,1,0,0,36.0,0.0,22.4
2025-06-06,donut,61,4,0,6,6,0,0,27.3,5.6,78.5,1,0,1,0,0,21.0,0.0,29.0
2025-06-06,chiffon,36,4,0,6,6,0,0,27.3,5.6,78.5,1,0,1,0,0,17.0,0.0,14.4
2025-06-06,bread_coconut,45,4,0,6,6,0,0,27.3,5.6,78.5,1,0,1,0,0,16.0,0.0,15.0
2025-06-06,bread_roll,59,4,0,6,6,0,0,27.3,5.6,78.5,1,0,1,0,0,21.0,0.0,24.8
2025-06-06,croissant_chocolate,53,4,0,6,6,0,0,27.3,5.6,78.5,1,0,1,0,0,18.0,0.0,18.0
2025-06-07,croissant,63,5,1,7,6,1,0,29.9,1.8,73.9,0,1,0,0,0,89.0,0.0,33.5
2025-06-07,donut,57,5,1,7,6,1,0,29.9,1.8,73.9,0,1,0,0,0,61.0,0.0,34.333333333333336
2025-06-07,chiffon,26,5,1,7,6,1,0,29.9,1.8,73.9,0,1,0,0,0,36.0,0.0,18.0
2025-06-07,bread_coconut,44,5,1,7,6,1,0,29.9,1.8,73.9,0,1,0,0,0,45.0,0.0,20.0
2025-06-07,bread_roll,51,5,1,7,6,1,0,29.9,1.8,73.9,0,1,0,0,0,59.0,0.0,30.5
2025-06-07,croissant_chocolate,43,5,1,7,6,1,0,29.9,1.8,73.9,0,1,0,0,0,53.0,0.0,23.833333333333332
2025-06-08,croissant,70,6,1,8,6,0,0,29.7,0.5,80.9,0,1,0,0,0,63.0,10.0,37.714285714285715
2025-06-08,donut,85,6,1,8,6,0,0,29.7,0.5,80.9,0,1,0,0,0,57.0,65.0,37.57142857142857
2025-06-08,chiffon,23,6,1,8,6,0,0,29.7,0.5,80.9,0,1,0,0,0,26.0,24.0,19.142857142857142
2025-06-08,bread_coconut,25,6,1,8,6,0,0,29.7,0.5,80.9,0,1,0,0,0,44.0,25.0,23.428571428571427
2025-06-08,bread_roll,69,6,1,8,6,0,0,29.7,0.5,80.9,0,1,0,0,0,51.0,48.0,33.42857142857143
2025-06-08,croissant_chocolate,42,6,1,8,6,0,0,29.7,0.5,80.9,0,1,0,0,0,43.0,30.0,26.571428571428573
2025-06-09,croissant,0,0,0,9,6,0,0,25.7,8.6,76.4,1,0,1,0,0,70.0,0.0,46.285714285714285
2025-06-09,donut,0,0,0,9,6,0,0,25.7,8.6,76.4,1,0,1,0,0,85.0,0.0,40.42857142857143
2025-06-09,chiffon,0,0,0,9,6,0,0,25.7,8.6,76.4,1,0,1,0,0,23.0,0.0,19.0
2025-06-09,bread_coconut,0,0,0,9,6,0,0,25.7,8.6,76.4,1,0,1,0,0,25.0,0.0,23.428571428571427
2025-06-09,bread_roll,0,0,0,9,6,0,0,25.7,8.6,76.4,1,0,1,0,0,69.0,0.0,36.42857142857143
2025-06-09,croissant_chocolate,0,0,0,9,6,0,0,25.7,8.6,76.4,1,0,1,0,0,42.0,0.0,28.285714285714285
2025-06-10,croissant,40,1,0,10,6,0,0,26.0,3.8,75.6,0,0,1,0,0,0.0,41.0,46.285714285714285
2025-06-10,donut,46,1,0,10,6,0,0,26.0,3.8,75.6,0,0,1,0,0,0.0,24.0,40.42857142857143
2025-06-10,chiffon,17,1,0,10,6,0,0,26.0,3.8,75.6,0,0,1,0,0,0.0,21.0,19.0
2025-06-10,bread_coconut,22,1,0,10,6,0,0,26.0,3.8,75.6,0,0,1,0,0,0.0,18.0,23.428571428571427
2025-06-10,bread_roll,30,1,0,10,6,0,0,26.0,3.8,75.6,0,0,1,0,0,0.0,25.0,36.42857142857143
2025-06-10,croissant_chocolate,27,1,0,10,6,0,0,26.0,3.8,75.6,0,0,1,0,0,0.0,26.0,28.285714285714285
2025-06-11,croissant,44,2,0,11,6,0,0,29.4,6.3,84.4,1,0,1,0,0,40.0,25.0,46.142857142857146
2025-06-11,donut,35,2,0,11,6,0,0,29.4,6.3,84.4,1,0,1,0,0,46.0,35.0,43.57142857142857
2025-06-11,chiffon,19,2,0,11,6,0,0,29.4,6.3,84.4,1,0,1,0,0,17.0,10.0,18.428571428571427
2025-06-11,bread_coconut,16,2,0,11,6,0,0,29.4,6.3,84.4,1,0,1,0,0,22.0,16.0,24.0
2025-06-11,bread_roll,30,2,0,11,6,0,0,29.4,6.3,84.4,1,0,1,0,0,30.0,30.0,37.142857142857146
2025-06-11,croissant_chocolate,16,2,0,11,6,0,0,29.4,6.3,84.4,1,0,1,0,0,27.0,16.0,28.428571428571427
2025-06-12,croissant,36,3,0,12,6,0,0,25.7,0.3,85.5,0,1,0,0,0,44.0,36.0,48.857142857142854
2025-06-12,donut,29,3,0,12,6,0,0,25.7,0.3,85.5,0,1,0,0,0,35.0,21.0,43.57142857142857
2025-06-12,chiffon,16,3,0,12,6,0,0,25.7,0.3,85.5,0,1,0,0,0,19.0,17.0,19.714285714285715
2025-06-12,bread_coconut,18,3,0,12,6,0,0,25.7,0.3,85.5,0,1,0,0,0,16.0,16.0,24.0
2025-06-12,bread_roll,22,3,0,12,6,0,0,25.7,0.3,85.5,0,1,0,0,0,30.0,21.0,37.142857142857146
2025-06-12,croissant_chocolate,22,3,0,12,6,0,0,25.7,0.3,85.5,0,1,0,0,0,16.0,18.0,28.428571428571427
2025-06-13,croissant,52,4,0,13,6,0,0,24.7,17.3,85.3,1,0,0,1,0,36.0,89.0,48.857142857142854
2025-06-13,donut,44,4,0,13,6,0,0,24.7,17.3,85.3,1,0,0,1,0,29.0,61.0,44.714285714285715
2025-06-13,chiffon,25,4,0,13,6,0,0,24.7,17.3,85.3,1,0,0,1,0,16.0,36.0,19.571428571428573
2025-06-13,bread_coconut,30,4,0,13,6,0,0,24.7,17.3,85.3,1,0,0,1,0,18.0,45.0,24.285714285714285
2025-06-13,bread_roll,42,4,0,13,6,0,0,24.7,17.3,85.3,1,0,0,1,0,22.0,59.0,37.285714285714285
2025-06-13,croissant_chocolate,31,4,0,13,6,0,0,24.7,17.3,85.3,1,0,0,1,0,22.0,53.0,29.0
2025-06-14,croissant,69,5,1,14,6,0,0,27.3,2.8,81.7,0,1,0,0,0,52.0,63.0,43.57142857142857
2025-06-14,donut,74,5,1,14,6,0,0,27.3,2.8,81.7,0,1,0,0,0,44.0,57.0,42.285714285714285
2025-06-14,chiffon,32,5,1,14,6,0,0,27.3,2.8,81.7,0,1,0,0,0,25.0,26.0,18.0
2025-06-14,bread_coconut,38,5,1,14,6,0,0,27.3,2.8,81.7,0,1,0,0,0,30.0,44.0,22.142857142857142
2025-06-14,bread_roll,77,5,1,14,6,0,0,27.3,2.8,81.7,0,1,0,0,0,42.0,51.0,34.857142857142854
2025-06-14,croissant_chocolate,43,5,1,14,6,0,0,27.3,2.8,81.7,0,1,0,0,0,31.0,43.0,25.857142857142858
2025-06-15,croissant,66,6,1,15,6,0,0,30.0,1.4,80.1,0,1,0,0,0,69.0,70.0,44.42857142857143
2025-06-15,donut,49,6,1,15,6,0,0,30.0,1.4,80.1,0,1,0,0,0,74.0,85.0,44.714285714285715
2025-06-15,chiffon,39,6,1,15,6,0,0,30.0,1.4,80.1,0,1,0,0,0,32.0,23.0,18.857142857142858
2025-06-15,bread_coconut,34,6,1,15,6,0,0,30.0,1.4,80.1,0,1,0,0,0,38.0,25.0,21.285714285714285
2025-06-15,bread_roll,55,6,1,15,6,0,0,30.0,1.4,80.1,0,1,0,0,0,77.0,69.0,38.57142857142857
2025-06-15,croissant_chocolate,42,6,1,15,6,0,0,30.0,1.4,80.1,0,1,0,0,0,43.0,42.0,25.857142857142858
2025-06-16,croissant,0,0,0,16,6,0,0,28.0,0.9,77.9,0,1,0,0,0,66.0,0.0,43.857142857142854
2025-06-16,donut,0,0,0,16,6,0,0,28.0,0.9,77.9,0,1,0,0,0,49.0,0.0,39.57142857142857
2025-06-16,chiffon,0,0,0,16,6,0,0,28.0,0.9,77.9,0,1,0,0,0,39.0,0.0,21.142857142857142
2025-06-16,bread_coconut,0,0,0,16,6,0,0,28.0,0.9,77.9,0,1,0,0,0,34.0,0.0,22.571428571428573
2025-06-16,bread_roll,0,0,0,16,6,0,0,28.0,0.9,77.9,0,1,0,0,0,55.0,0.0,36.57142857142857
2025-06-16,croissant_chocolate,0,0,0,16,6,0,0,28.0,0.9,77.9,0,1,0,0,0,42.0,0.0,25.857142857142858
2025-06-17,croissant,41,1,0,17,6,0,0,30.0,7.9,81.6,1,0,1,0,0,0.0,40.0,43.857142857142854
2025-06-17,donut,33,1,0,17,6,0,0,30.0,7.9,81.6,1,0,1,0,0,0.0,46.0,39.57142857142857
2025-06-17,chiffon,17,1,0,17,6,0,0,30.0,7.9,81.6,1,0,1,0,0,0.0,17.0,21.142857142857142
2025-06-17,bread_coconut,17,1,0,17,6,0,0,30.0,7.9,81.6,1,0,1,0,0,0.0,22.0,22.571428571428573
2025-06-17,bread_roll,25,1,0,17,6,0,0,30.0,7.9,81.6,1,0,1,0,0,0.0,30.0,36.57142857142857
2025-06-17,croissant_chocolate,27,1,0,17,6,0,0,30.0,7.9,81.6,1,0,1,0,0,0.0,27.0,25.857142857142858
2025-06-18,croissant,44,2,0,18,6,0,0,27.1,1.3,78.4,0,1,0,0,0,41.0,44.0,44.0
2025-06-18,donut,30,2,0,18,6,0,0,27.1,1.3,78.4,0,1,0,0,0,33.0,35.0,37.714285714285715
2025-06-18,chiffon,19,2,0,18,6,0,0,27.1,1.3,78.4,0,1,0,0,0,17.0,19.0,21.142857142857142
2025-06-18,bread_coconut,16,2,0,18,6,0,0,27.1,1.3,78.4,0,1,0,0,0,17.0,16.0,21.857142857142858
2025-06-18,bread_roll,27,2,0,18,6,0,0,27.1,1.3,78.4,0,1,0,0,0,25.0,30.0,35.857142857142854
2025-06-18,croissant_chocolate,20,2,0,18,6,0,0,27.1,1.3,78.4,0,1,0,0,0,27.0,16.0,25.857142857142858
2025-06-19,croissant,43,3,0,19,6,0,0,28.4,2.6,78.8,0,1,0,0,0,44.0,36.0,44.0
2025-06-19,donut,42,3,0,19,6,0,0,28.4,2.6,78.8,0,1,0,0,0,30.0,29.0,37.0
2025-06-19,chiffon,16,3,0,19,6,0,0,28.4,2.6,78.8,0,1,0,0,0,19.0,16.0,21.142857142857142
2025-06-19,bread_coconut,24,3,0,19,6,0,0,28.4,2.6,78.8,0,1,0,0,0,16.0,18.0,21.857142857142858
