date,time,ticket_id,product_name,quantity,unit_price_cny,category,is_rainy,is_member_day,is_competitor,is_new_product,is_day1,is_top3,discount_pct,beverage_size,beverage_temp,beverage_sweetness,beverage_ice
2025-06-24,16:40:58,GZ-20250624-0001,chocopie,1,12.0,bakery,0,0,0,0,0,0,0.0,,,,
2025-06-24,16:40:58,GZ-20250624-0001,croissant,1,10.0,bakery,0,0,0,0,0,0,0.0,,,,
2025-06-24,16:40:58,GZ-20250624-0001,croissant_chocolate,3,12.0,bakery,0,0,0,0,0,0,0.0,,,,
2025-06-24,16:40:58,GZ-20250624-0001,eggtart,1,8.0,bakery,0,0,0,0,0,0,0.0,,,,
2025-06-24,12:04:02,GZ-20250624-0002,milk_tea,1,17.0,beverage,0,0,0,0,0,0,0.0,large,cold,none,normal
2025-06-24,09:55:06,GZ-20250624-0003,croissant_chocolate,1,12.0,bakery,0,0,0,0,1,0,0.2,,,,
2025-06-24,13:18:03,GZ-20250624-0004,americano,1,18.0,beverage,0,0,0,0,0,0,0.0,large,cold,none,normal
2025-06-24,13:18:03,GZ-20250624-0004,melon_bread,1,9.0,bakery,0,0,0,0,0,0,0.0,,,,
2025-06-24,12:23:14,GZ-20250624-0005,baguette,1,9.0,bakery,0,0,0,0,0,0,0.0,,,,
2025-06-24,12:23:14,GZ-20250624-0005,flat_white,1,23.0,beverage,0,0,0,0,0,0,0.0,large,cold,less,none
2025-06-24,09:07:53,GZ-20250624-0006,baguette,1,9.0,bakery,0,0,0,0,0,0,0.0,,,,
2025-06-24,08:18:40,GZ-20250624-0007,croissant,1,10.0,bakery,0,0,0,0,0,0,0.0,,,,
2025-06-24,09:32:54,GZ-20250624-0008,croissant_chocolate,1,12.0,bakery,0,0,0,0,0,0,0.0,,,,
2025-06-24,09:32:54,GZ-20250624-0008,espresso,1,12.0,beverage,0,0,0,0,0,0,0.0,regular,cold,none,normal
2025-06-24,09:04:56,GZ-20250624-0009,apple_pie,1,14.0,bakery,0,0,0,0,0,0,0.0,,,,
2025-06-24,09:24:16,GZ-20250624-0010,baguette,1,9.0,bakery,0,0,0,0,1,0,0.2,,,,
2025-06-24,09:24:16,GZ-20250624-0010,croissant_chocolate,1,12.0,bakery,0,0,0,0,0,0,0.0,,,,
2025-06-24,09:24:16,GZ-20250624-0010,stickbread,1,6.0,bakery,0,0,0,0,0,0,0.0,,,,
