date,product_id,category,daily_tickets,day_of_week,month,is_weekend,is_holiday,lag_1,lag_7_avg,lag_30_avg,roll_std_7,roll_std_14,trend_7,is_day1,is_top3,discount_pct,is_member_day,is_new_product,is_competitor,is_rainy,temp_mean,temp_range,is_cold_day,is_hot_day,large_ratio,cold_ratio,sweetness_avg,ice_avg,temp_hot_ratio,quantity,product_name
2023-01-01,0,0,50,6,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1546128720786725,0.0,0.0,0.0,0.0,13.8,11.8,1,0,0.0,0.0,2.0,0.0,0.7701633331041463,16,apple_pie
2023-01-01,1,0,50,6,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8,11.8,1,0,0.0,0.0,0.0,0.0,0.7701633331041463,2,bagel
2023-01-01,2,0,50,6,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8,11.8,1,0,0.0,0.0,0.0,0.0,0.7701633331041463,1,baguette
2023-01-01,3,0,50,6,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8,11.8,1,0,0.0,0.0,0.0,0.0,0.7701633331041463,1,bread_coconut
2023-01-01,4,0,50,6,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8,11.8,1,0,0.0,0.0,0.0,0.0,0.7701633331041463,1,bread_roll
2023-01-01,5,0,50,6,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8,11.8,1,0,0.0,0.0,0.0,0.0,0.7701633331041463,2,brioche
2023-01-01,6,0,50,6,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8,11.8,1,0,0.0,0.0,0.0,0.0,0.7701633331041463,2,brownie
2023-01-01,7,0,50,6,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8,11.8,1,0,0.0,0.0,0.0,0.0,0.7701633331041463,1,chiffon
2023-01-01,8,0,50,6,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1240041109600943,0.0,0.0,0.0,0.0,13.8,11.8,1,0,1.0,0.0,2.0,0.0,0.7701633331041463,12,chocolate_cake
2023-01-01,9,0,50,6,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8,11.8,1,0,0.0,0.0,0.0,0.0,0.7701633331041463,4,chocopie
